ts_anchor,ts_target,past_pv,target
2025-03-04 14:45:00+08:00,2025-03-04 15:00:00+08:00,"[10211.667, 12619.0, 14540.333, 13272.667, 8483.333, 3318.3333, 5551.3335, 2751.3333]",2997.3333
2025-03-04 15:00:00+08:00,2025-03-04 15:15:00+08:00,"[12619.0, 14540.333, 13272.667, 8483.333, 3318.3333, 5551.3335, 2751.3333, 2125.0]",4193.0
2025-03-04 15:15:00+08:00,2025-03-04 15:30:00+08:00,"[14540.333, 13272.667, 8483.333, 3318.3333, 5551.3335, 2751.3333, 2125.0, 2997.3333]",6393.0
2025-03-04 15:30:00+08:00,2025-03-04 15:45:00+08:00,"[13272.667, 8483.333, 3318.3333, 5551.3335, 2751.3333, 2125.0, 2997.3333, 4193.0]",2926.0
2025-03-04 15:45:00+08:00,2025-03-04 16:00:00+08:00,"[8483.333, 3318.3333, 5551.3335, 2751.3333, 2125.0, 2997.3333, 4193.0, 6393.0]",10641.0
2025-03-04 16:00:00+08:00,2025-03-04 16:15:00+08:00,"[3318.3333, 5551.3335, 2751.3333, 2125.0, 2997.3333, 4193.0, 6393.0, 2926.0]",10933.667
2025-03-04 16:15:00+08:00,2025-03-04 16:30:00+08:00,"[5551.3335, 2751.3333, 2125.0, 2997.3333, 4193.0, 6393.0, 2926.0, 10641.0]",8846.333
2025-03-04 16:30:00+08:00,2025-03-04 16:45:00+08:00,"[2751.3333, 2125.0, 2997.3333, 4193.0, 6393.0, 2926.0, 10641.0, 10933.667]",4947.3335
2025-03-04 16:45:00+08:00,2025-03-04 17:00:00+08:00,"[2125.0, 2997.3333, 4193.0, 6393.0, 2926.0, 10641.0, 10933.667, 8846.333]",3512.6667
2025-03-04 17:00:00+08:00,2025-03-04 17:15:00+08:00,"[2997.3333, 4193.0, 6393.0, 2926.0, 10641.0, 10933.667, 8846.333, 4947.3335]",4666.0
