date,start_time,end_time,is_clear_sky,pv_clear_sky,image_clear_sky,pv_r2,csi_mae,pv_mae_w,pv_rmse_w,mean_target_csi,min_target_csi,max_target_csi,n_pv_samples,n_image_samples,blue_fraction_mean,blue_fraction_p10,gray_fraction_mean,gray_fraction_p90,bright_white_fraction_mean,mean_saturation,mean_value,notes
2026-02-22,08:00,17:59,False,False,False,0.3265237649657575,0.08012429161818162,3917.5876616871465,6143.501557079613,0.5277875610093784,0.18467536973470414,0.7484875804505593,36,20,0.33804586652018676,0.012721779730843177,0.6973221642405932,0.9968360340565778,0.06997253501785225,0.15692196507006884,0.573687669634819,auto rejected by SPM daily R2 or image color heuristic
2026-02-23,08:00,17:59,False,False,False,0.7235177340082202,0.08034249672028661,3510.545666800959,4665.004817971677,0.4123049485902019,0.02403467038303116,0.7811797936047788,36,20,0.1907401812688822,0.0,0.8334097775336445,0.9997775336446032,0.059589398516890955,0.10849346993491053,0.6061486423015594,auto rejected by SPM daily R2 or image color heuristic
2026-02-24,08:00,17:59,False,False,False,0.710418458721535,0.09525590219148287,4235.5890017236625,5719.9968527044175,0.38389176428127747,0.15887825274781575,0.7115360925686202,36,20,0.08789618236748147,0.0,0.938269706124691,1.0,0.05521285361164515,0.06550784921273589,0.6093372464179992,auto rejected by SPM daily R2 or image color heuristic
2026-02-25,08:00,17:59,False,False,False,0.8824031181261633,0.061865012928334476,2876.3799216171315,3820.0725028617276,0.4511476121798988,0.09976949562461093,0.744627693310049,36,20,0.156196099972535,0.0,0.8656577863224388,1.0,0.055070035704476786,0.09753059651702642,0.5969781458377839,auto rejected by SPM daily R2 or image color heuristic
2026-02-26,08:00,17:59,False,False,False,0.7727658860960418,0.028959575064624116,1235.1051300700738,1527.9018932697447,0.14423945393489856,0.04667561578766626,0.2998170842119956,35,20,0.002514419115627575,0.0,0.9983891787970338,1.0,0.006871738533369953,0.03326201792806387,0.6388781040906906,auto rejected by SPM daily R2 or image color heuristic
2026-02-27,08:00,17:59,False,False,False,0.6150997892872847,0.025880417188251667,1109.9898187325668,1449.6901302253311,0.12750421899269782,0.040326023139039,0.26816399776647776,36,20,0.0005245811590222466,0.0,0.999883273825872,1.0,0.001995330953034881,0.032330192625522614,0.6407062232494354,auto rejected by SPM daily R2 or image color heuristic
2026-02-28,08:00,17:59,False,False,False,0.7424324419156562,0.008085252727810244,397.222993167162,608.3009270624017,0.03232161045880606,0.0024698232429049075,0.08604494355354575,31,20,0.018742103817632517,0.01447953858829992,0.9756701455644053,0.9872480087887943,0.002960725075528701,0.04086069539189339,0.6377271056175232,auto rejected by SPM daily R2 or image color heuristic
2026-03-01,08:00,17:59,False,False,False,0.8440266919664012,0.012529466545384197,573.9547546759122,833.3891185636494,0.09297460886098656,0.02490854051340522,0.14191183721825354,35,20,0.005475144191156275,0.0,0.9915297995056302,1.0,0.0,0.03234916776418686,0.6324844002723694,auto rejected by SPM daily R2 or image color heuristic
2026-03-02,08:00,17:59,False,False,False,0.7362370516436838,0.027245313236714138,1303.8936937635647,1920.8244416838172,0.13063116257595786,0.05126853932378509,0.2736083150245012,36,20,0.0017522658610271903,0.0,0.9983163965943422,1.0,0.0,0.02852275762706995,0.6347118198871613,auto rejected by SPM daily R2 or image color heuristic
2026-03-03,08:00,17:59,False,False,False,0.41213347488647334,0.03251113445421558,1317.8846990531065,1573.4183638017628,0.09188711099489635,0.018978827489434167,0.22057297086122526,36,20,0.004189783026641032,0.0,0.9982669596264764,1.0,0.009020873386432298,0.0361395594663918,0.6355388343334198,auto rejected by SPM daily R2 or image color heuristic
